Docket No. ( P-Code),ENG Model,T/M Model,Date of Booking,Carrying company,Invoice No. of shipping from dealer,Dealer Code,Material description,VIN No.,PQR No.,Claim No.,Safety issue,Material/Parts No.,Damage code,Distributor name (Overseas),"ENG, TM #",Mileage/Time,Date of claim,Failure description of Dealer,Failure description of MFTBC,Group in charge for investigation,Failure/Damage description in English,Model,WPI Claim No.,Q issue ID,Q issue status,PQR Importance level,Build date,Sold date,Failure date,Position code,Current status
PE24010027,6M60CA5F0301,M065A5B025,,DHL,NA,A000MXO4,INJECTOR ASSY,JLFFK62FL0KJ30025,231201347A,HF202312280076A,No,ME309518,4A,Daimler Truck and Bus Australia Pacific Pty ltd,278768/E0064092,="82487",="20231222",,"FK62FL 6M60 DPF lamp ON  Engine output limit B30C00,After countermeasures(AUSTRALIA)",QE3,E6 Fighter Black smoke condition,MEDIUM DUTY TRUCK,,QI202401121003A,Approved For Investigation,R3,="20210628",,="20231215",="07207",Approved
PE24010028,6M60CA5F0301,M065A5B025,,DHL,NA,A000MXO4,INJECTOR ASSY,JLFFK62FL0KJ30025,231201347A,HF202312280076A,No,ME309518,4A,Daimler Truck and Bus Australia Pacific Pty ltd,278768/E0064092,="82487",="20231222",,"FK62FL 6M60 DPF lamp ON  Engine output limit B30C00,After countermeasures(AUSTRALIA)",QE3,E6 Fighter Black smoke condition,MEDIUM DUTY TRUCK,,QI202401121003A,Approved For Investigation,R3,="20210628",,="20231215",="07207",Approved
PE24010029,6M60CA5F0301,M065A5B025,,DHL,NA,A000MXO4,INJECTOR ASSY,JLFFK62FL0KJ30025,231201347A,HF202312280076A,No,ME309518,4A,Daimler Truck and Bus Australia Pacific Pty ltd,278768/E0064092,="82487",="20231222",,"FK62FL 6M60 DPF lamp ON  Engine output limit B30C00,After countermeasures(AUSTRALIA)",QE3,E6 Fighter Black smoke condition,MEDIUM DUTY TRUCK,,QI202401121003A,Approved For Investigation,R3,="20210628",,="20231215",="07207",Approved
PE24010030,6M60CA5F0301,M065A5B025,,DHL,NA,A000MXO4,INJECTOR ASSY,JLFFK62FL0KJ30025,231201347A,HF202312280076A,No,ME309518,4A,Daimler Truck and Bus Australia Pacific Pty ltd,278768/E0064092,="82487",="20231222",,"FK62FL 6M60 DPF lamp ON  Engine output limit B30C00,After countermeasures(AUSTRALIA)",QE3,E6 Fighter Black smoke condition,MEDIUM DUTY TRUCK,,QI202401121003A,Approved For Investigation,R3,="20210628",,="20231215",="07207",Approved
PE24010031,6M60CA5F0301,M065A5B025,,DHL,NA,A000MXO4,INJECTOR ASSY,JLFFK62FL0KJ30025,231201347A,HF202312280076A,No,ME309518,4A,Daimler Truck and Bus Australia Pacific Pty ltd,278768/E0064092,="82487",="20231222",,"FK62FL 6M60 DPF lamp ON  Engine output limit B30C00,After countermeasures(AUSTRALIA)",QE3,E6 Fighter Black smoke condition,MEDIUM DUTY TRUCK,,QI202401121003A,Approved For Investigation,R3,="20210628",,="20231215",="07207",Approved
PF24020156,6R200A4F2401,G211CBA924,,日本通運,240207金沢,A00037030K,OIL SEPARATOR,FP74HD0540326,240200166A,,No,MX943659,="04",NA,039914/A0D06895,="100370",="20240203",21年FP74HD エンジンオイル消費 OCV排気より漏れ交換,,,,HEAVY DUTY TRUCK,,,,,="20220721",="20221026",="20240129",="47227",Submitted
PF24020190,4V200A3F0201,M050S6B457,,佐川急便,1959-0551-6693,A0002508CB,THROTTLE VALVE / EXHAUST FLAP,FK72N0605257,240200412A,,No,MX940421,H5,NA,A00705/K0390069,="22777",="20240207",FK72N  EXバタフライバルブ固着,,,,MEDIUM DUTY TRUCK,,,,,="20200617",="20200817",="20240202",="14208",Submitted
PF24020196,4P10RA6F3422,M038S5B018,,興菱梱包運輸,20240207八王子第一,A0003508HK,BATTERY EQUALIZER,FEB800600469,240101758A,HF202401310245A,No,ML235569,="73",NA,F55335/Z0P65702,="1102",="20240130",エンジン始動不良,,,,LIGHT DUTY TRUCK,,,,,="20220919",="20230220",="20240125",="82679",Submitted to QM
PF24010681,6M60,M100A6A021,,Others,="240131",A0002508BA,SUCTION VALVE,MP38FK0070384,240101168A,,No,ME760142,="53",NA,273696/1729411,="112556",="20240124",MP38FK エアコンプレッサーオイル上がり エアーコンプレッサヘッド交換,,,,HEAVY DUTY BUS,,,,,="20210301",="20210325",="20240109",="13018",Originator Submitted
PF24010684,6M60,M100A6A021,,Others,="240131",A0002508BA,"PIPE,AIR OUTLET",MP38FK0070384,240101168A,,No,ME306035,="53",NA,273696/1729411,="112556",="20240124",MP38FK エアコンプレッサーオイル上がり エアーコンプレッサヘッド交換,,,,HEAVY DUTY BUS,,,,,="20210301",="20210325",="20240109",="13018",Originator Submitted
